'282', '2019-04-23 00:00:00', '00:00:00', '00:00:00', '0'
'283', '2019-04-15 00:00:00', '00:00:00', '00:00:00', '2'
'284', '2019-04-16 00:00:00', '00:00:00', '00:00:00', '2'
'285', '2019-04-17 00:00:00', '00:00:00', '00:00:00', '2'
'286', '2019-04-18 00:00:00', '00:00:00', '00:00:00', '2'
'287', '2019-04-19 00:00:00', '00:00:00', '00:00:00', '2'
'291', '2019-04-26 00:00:00', '05:22:00', '00:45:00', '0'
'292', '2019-04-29 00:00:00', '07:03:00', '00:45:00', '0'
'293', '2019-04-30 00:00:00', '06:58:00', '00:45:00', '0'
'294', '2019-05-23 00:00:00', '06:48:00', '00:45:00', '0'
'295', '2019-05-01 00:00:00', '00:00:00', '00:00:00', '2'
'296', '2019-05-02 00:00:00', '07:11:00', '00:45:00', '0'
'297', '2019-05-03 00:00:00', '04:59:00', '00:45:00', '0'
'298', '2019-05-06 00:00:00', '00:00:00', '00:00:00', '2'
'299', '2019-05-07 00:00:00', '00:00:00', '00:00:00', '2'
'300', '2019-05-08 00:00:00', '22:18:00', '00:45:00', '0'
'301', '2019-05-09 00:00:00', '08:15:00', '00:45:00', '0'
'302', '2019-05-10 00:00:00', '05:07:00', '00:45:00', '0'
'303', '2019-05-13 00:00:00', '06:53:00', '00:45:00', '0'
'304', '2019-05-14 00:00:00', '07:21:00', '00:45:00', '0'
'305', '2019-05-15 00:00:00', '06:33:00', '00:45:00', '0'
'306', '2019-05-16 00:00:00', '06:26:00', '00:45:00', '0'
'307', '2019-05-17 00:00:00', '03:34:00', '00:45:00', '0'
'308', '2019-05-20 00:00:00', '07:01:00', '00:45:00', '0'
'309', '2019-05-21 00:00:00', '07:16:00', '00:45:00', '0'
'310', '2019-05-22 00:00:00', '07:22:00', '00:45:00', '0'
'311', '2019-05-24 00:00:00', '04:03:00', '00:45:00', '0'
'312', '2019-05-27 00:00:00', '07:33:00', '00:45:00', '0'
'313', '2019-05-28 00:00:00', '07:33:00', '00:45:00', '0'
'314', '2019-05-29 00:00:00', '07:11:00', '00:45:00', '0'
'315', '2019-05-30 00:00:00', '00:00:00', '00:00:00', '2'
'316', '2019-05-31 00:00:00', '00:00:00', '00:00:00', '2'
'317', '2019-06-03 00:00:00', '06:24:00', '00:45:00', '0'
'318', '2019-06-04 00:00:00', '07:05:00', '00:45:00', '0'
'319', '2019-06-05 00:00:00', '06:31:00', '00:45:00', '0'
'320', '2019-06-06 00:00:00', '06:33:00', '00:45:00', '0'
'321', '2019-06-07 00:00:00', '04:36:00', '00:45:00', '0'
'322', '2019-06-10 00:00:00', '00:00:00', '00:00:00', '2'
'323', '2019-06-11 00:00:00', '07:31:00', '00:45:00', '0'
'324', '2019-06-12 00:00:00', '07:29:00', '00:45:00', '0'
'325', '2019-06-13 00:00:00', '07:54:00', '00:45:00', '0'
'326', '2019-06-14 00:00:00', '05:23:00', '00:45:00', '0'
'327', '2019-06-17 00:00:00', '07:08:00', '00:45:00', '0'
'328', '2019-06-08 00:00:00', '00:00:00', '00:00:00', '0'
'329', '2019-06-18 00:00:00', '06:43:00', '00:45:00', '0'
'330', '2019-06-19 00:00:00', '05:17:00', '00:45:00', '0'
'331', '2019-06-20 00:00:00', '06:27:00', '00:45:00', '0'
'332', '2019-06-21 00:00:00', '01:54:00', '00:00:00', '0'
'333', '2019-06-24 00:00:00', '08:14:00', '00:45:00', '0'
'334', '2019-06-25 00:00:00', '08:49:00', '00:45:00', '0'
'335', '2019-06-26 00:00:00', '07:57:00', '00:45:00', '0'
'336', '2019-06-27 00:00:00', '07:45:00', '00:45:00', '0'
'337', '2019-06-28 00:00:00', '05:15:00', '00:30:00', '0'
'338', '2019-07-01 00:00:00', '08:26:00', '00:00:00', '0'
'339', '2019-07-02 00:00:00', '07:19:00', '00:45:00', '0'
'340', '2019-07-03 00:00:00', '07:23:00', '00:45:00', '0'
